Categoría;;Código;Producto;Opcion;Precio;Promoción;Stock
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2025-02-17t134718-183-fefe7885cbf5f0799617398110169217-1024-1024.webp"")";4469;COLAGÉNO PLUS LIMON X360GR - STAR NUTRITION;Limon;18100;;8
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2024-10-25t125731-329-95a56ed5d524bc462217298721907823-1024-1024.webp"")";4282;Display GEL ENERGY caja X12 - NUTREMAX;Caramelo Salado;12100;;1
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/5387607086140509/1769613985874-diseosinttulo-2026-01-28t122544.443.png"")";5081;Display GEL ENERGY caja X12 - NUTREMAX;Limon;12100;;24
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2024-10-25t125645-079-c4153282b2b5c903f017298721909651-1024-1024.webp"")";4283;Display GEL ENERGY caja X12 - NUTREMAX;Naranja;12100;;10
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/5387607086140509/1769613991194-diseosinttulo-2026-01-28t122619.923.png"")";5082;Display GEL ENERGY caja X12 - NUTREMAX;Naranja-Frutilla;12100;;15
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/5387607086140509/1769614007720-diseosinttulo-2026-01-28t122455.417.png"")";5080;Display GEL ENERGY caja X12 - NUTREMAX;Sin Sabor;12100;;34
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2024-10-25t125701-027-da952784e0f5d1b71a17298721906651-1024-1024.webp"")";4284;Display GEL ENERGY caja X12 - NUTREMAX;Triberry;12100;;4
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/creatine-monohydrate-309-g1-ee06487a9ad6e4fe4a16717198475121-1024-1024.webp"")";875;Creatina 309 g Tarro - BSN;OPCIÓN;32792;;6
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2024-04-26t112225-610-e0261e85e363574e3e17144872808707-1024-1024.webp"")";4516;Barrita proteica 46 g caja X12 - Mervick;Banana;13454;;30
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2024-04-26t112225-610-e0261e85e363574e3e17144872808707-1024-1024.webp"")";4517;Barrita proteica 46 g caja X12 - Mervick;Chocolate;13454;;30
